_id,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Crop_Encoded
6818781450bfcc2e40e61abf,3,67,24,17.00067625,19.90790546,5.520880014,103.2926407,KidneyBeans,9
6818781450bfcc2e40e61a11,81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,Maize,11
6818781450bfcc2e40e619ad,73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,Rice,20
6818781450bfcc2e40e61ac4,31,79,25,23.18864385,22.3104551,5.902033406,63.38208822,KidneyBeans,9
6818781450bfcc2e40e61d0b,19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,Pomegranate,19
6818781450bfcc2e40e61ffa,20,29,10,29.07412717,93.27189064,7.36549204,100.7896871,Orange,16
6818781450bfcc2e40e61cd3,14,76,20,29.05941162,62.10652364,7.042474679,36.5011366,Lentil,10
6818781450bfcc2e40e62078,31,20,26,25.56567803,97.61361544,6.443168642,199.7936345,Coconut,4
6818781450bfcc2e40e621c3,97,29,27,27.74576987,54.36976075,7.205078785,139.8619431,Coffee,5
6818781450bfcc2e40e61bfe,20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,MungBean,14
6818781450bfcc2e40e61eda,101,25,52,29.09910406,94.22237826,6.750145572,22.52497327,Muskmelon,15
6818781450bfcc2e40e61a9d,27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,KidneyBeans,9
6818781450bfcc2e40e61a2b,22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,ChickPea,3
6818781450bfcc2e40e61a74,32,71,85,20.62767492,14.44008871,6.403982316,92.06630306,ChickPea,3
6818781450bfcc2e40e619aa,75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,Rice,20
6818781450bfcc2e40e61c5b,35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,Blackgram,2
6818781450bfcc2e40e621a4,80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,Coffee,5
6818781450bfcc2e40e62197,108,24,31,24.12832546,56.18107663,6.431899748,147.2757818,Coffee,5
6818781450bfcc2e40e621ec,107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,Coffee,5
6818781450bfcc2e40e61e5d,16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,Grapes,7
6818781450bfcc2e40e61d14,22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,Pomegranate,19
6818781450bfcc2e40e61b4b,4,69,19,19.25100056,47.70351758,5.374358869,149.063196,PigeonPeas,18
6818781450bfcc2e40e621e7,93,26,27,24.59245684,56.46829641,7.288211994,137.7044047,Coffee,5
6818781450bfcc2e40e61c97,4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,Lentil,10
6818781450bfcc2e40e61dda,36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,Mango,12
6818781450bfcc2e40e61a48,32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,ChickPea,3
6818781450bfcc2e40e621f0,106,21,35,25.627355,57.04151119,7.428523634,188.5506536,Coffee,5
6818781450bfcc2e40e61bd5,23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,MungBean,14
6818781450bfcc2e40e61e62,1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,Grapes,7
6818781450bfcc2e40e61b25,5,55,18,33.50876355,45.70976142,7.322097972,126.6738117,PigeonPeas,18
6818781450bfcc2e40e61c2d,50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,Blackgram,2
6818781450bfcc2e40e61aac,40,73,20,21.59343016,20.31871249,5.811314232,61.13872036,KidneyBeans,9
6818781450bfcc2e40e61a28,40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,ChickPea,3
6818781450bfcc2e40e62031,42,60,47,33.46873719,92.12746225,6.834808348,136.8277041,Papaya,17
6818781450bfcc2e40e61af6,40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,PigeonPeas,18
6818781450bfcc2e40e61f5d,10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,Apple,0
6818781450bfcc2e40e61aff,40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,PigeonPeas,18
6818781450bfcc2e40e6196e,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,Rice,20
6818781450bfcc2e40e61d6d,119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,Banana,1
6818781450bfcc2e40e61ff6,7,20,12,16.53460397,94.76759975,6.475275337,110.0447896,Orange,16
6818781450bfcc2e40e62168,72,42,43,26.56767277,80.90424543,6.352771037,181.2915605,Jute,8
6818781450bfcc2e40e621b6,86,31,35,27.01207284,60.76645256,6.485761419,191.4508931,Coffee,5
6818781450bfcc2e40e61b0e,6,69,19,26.88630675,41.69617915,4.750929218,94.46748008,PigeonPeas,18
6818781450bfcc2e40e619e5,64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,Maize,11
6818781450bfcc2e40e61a3f,60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,ChickPea,3
6818781450bfcc2e40e61ce2,34,73,15,20.97195263,63.83179889,7.630424083,53.10207889,Lentil,10
6818781450bfcc2e40e61a1a,65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,Maize,11
6818781450bfcc2e40e61d98,99,92,47,28.1279509,77.48247073,6.323933647,103.5045395,Banana,1
6818781450bfcc2e40e61e52,40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,Grapes,7
6818781450bfcc2e40e621eb,101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,Coffee,5
6818781450bfcc2e40e61a62,59,69,80,19.07937684,17.86754927,8.165359297,69.40619137,ChickPea,3
6818781450bfcc2e40e619f2,61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,Maize,11
6818781450bfcc2e40e6215a,89,52,45,24.89326318,77.01222585,7.207457208,196.469984,Jute,8
6818781450bfcc2e40e61f99,14,140,197,23.35225078,90.90054697,6.071255131,113.0381382,Apple,0
6818781450bfcc2e40e61aa8,34,60,22,17.66148158,18.15302753,5.635231778,100.6711761,KidneyBeans,9
6818781450bfcc2e40e6209c,7,21,35,25.76011662,94.65830608,5.764812076,131.2451414,Coconut,4
6818781450bfcc2e40e61c33,40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,Blackgram,2
6818781450bfcc2e40e61b83,10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,MothBeans,13
6818781450bfcc2e40e61c9f,3,63,16,24.38041875,61.18458224,6.868881708,53.13946695,Lentil,10
6818781450bfcc2e40e61b91,35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,MothBeans,13
6818781450bfcc2e40e62145,81,56,36,23.39605743,72.60512854,7.097586415,174.7876411,Jute,8
6818781450bfcc2e40e61a42,36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,ChickPea,3
6818781450bfcc2e40e621e8,104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,Coffee,5
6818781450bfcc2e40e61a6e,42,74,83,19.2582557,14.2804191,7.545258424,65.78042032,ChickPea,3
6818781450bfcc2e40e61fff,27,30,5,32.71748548,90.54608254,7.656978112,113.328978,Orange,16
6818781450bfcc2e40e6197a,97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,Rice,20
6818781450bfcc2e40e620fe,140,40,17,22.72767171,77.07598065,6.006085786,77.55176318,Cotton,6
6818781450bfcc2e40e61db6,18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,Mango,12
6818781450bfcc2e40e61b8a,32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,MothBeans,13
6818781450bfcc2e40e62041,59,62,49,43.36051537,93.35191636,6.941496806,114.778071,Papaya,17
6818781450bfcc2e40e61e5b,8,136,201,41.65602996,82.22118237,5.609255992,74.19664838,Grapes,7
6818781450bfcc2e40e61de1,23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,Mango,12
